Pregunta,op1,op2,op3,correcta
¿Qué son las siglas ASG en el contexto de la sostenibilidad?,"Amigable, Sustentable y Global","Agricultura, Salud y Gobernanza","Ambiental, Social y Gobernanza",3
Representa un crédito bancario con términos claros y transparentes:,Financiamiento formal,Coyote,Financiamiento informal,1
¿Cuál de las siguientes opciones ejemplifica un tipo de financiamiento formal?,Obtener un préstamo de un banco con términos claros y tasas de interés establecidas.,Pedir dinero prestado a un amigo sin un contrato formal ni términos claros.,Obtener fondos de un prestamista de la comunidad sin documentos ni registros formales.,1
¿Cuál de los siguientes NO es un financiamiento formal?,Solicitar un préstamo a una institución financiera con un contrato detallado y una tasa de interés fija.,Recibir fondos de un familiar con la expectativa de reembolsarlos sin formalidades.,Acceder a financiamiento a través de una plataforma en línea con términos y condiciones establecidos.,2
¿Qué opción se refiere a un seguro para cubrir pérdidas agrícolas por fenómenos naturales?,Seguro para daños en vehículos agrícolas,Seguro para accidentes en la agricultura,Seguro agrícola,3
¿Cuál opción representa una ayuda gubernamental en forma de insumos para cultivo?,Ayuda en marketing y publicidad,Apoyo especie,Apoyo económico,2
¿Qué opción describe un modelo de préstamo que exige devolución completa con intereses en un plazo determinado?,Modelo de retención,Modelo de tarifa fija ,Modelo formal,1
"¿Qué significa ""agricultura protegida""?",Agricultura con protección policial,Agricultura con invernaderos,Agricultura con seguros de vida para los agricultores,2
¿Qué son los insumos orgánicos en agricultura?,Insumos procesados con componentes sintéticos,Insumos producidos en laboratorios con tecnología de vanguardia,Insumos procesados a partir de componentes naturales con contenido limitado de químicos sintéticos,3
¿Qué es la maquinaria agrícola?,"Herramienta de trabajo utilizada en diferentes etapas del proceso agrícola, como preparación de tierra, cosecha y transporte.",Transporte utilizado en el campo,Maquinaria Industrial,1
¿Qué es una parcela en agricultura?,Cultivo,"Superficie de tierra donde se siembra, crece y cosecha el cultivo",Superficie de tierra utilizada para pastoreo de ganado,2
¿Qué beneficios puede traer consigo la inclusión financiera para una comunidad?,Reducir la diversidad de servicios financieros disponibles.,Limitar el acceso a la tecnología financiera y a nuevas oportunidades de desarrollo.,"Promover el ahorro, la inversión y el crecimiento económico.",3
¿Qué es el rendimiento en agricultura?,Cantidad de masa producida por área de tierra,Cantidad de tierra utilizada para cultivar,Cantidad de agua utilizada para riego,1
¿Qué es el riego en agricultura?,Acción de recolectar agua de lluvia para uso agrícola,Acción de hidratar la tierra para promover el crecimiento de la producción,"Acción de hidratar la tierra para promover el crecimiento de la producción mediante diferentes métodos como aspersión, goteo o drones",3
¿Qué es la salud del suelo en agricultura?,Capacidad del suelo para producir cultivos sin necesidad de fertilizantes,Capacidad del suelo para proporcionar servicios ecosistémicos como regular la calidad del agua y secuestrar carbono,Capacidad del suelo para mantener la vida animal,2
¿Qué es la seguridad alimentaria?,Acceso a alimentos gourmet,Acceso a suficientes alimentos nutritivos para satisfacer las necesidades dietéticas de las personas,Acceso a alimentos procesados,2
¿Qué práctica agrícola mejora la salud del suelo y la biodiversidad mediante rotación de cultivos y cultivos de cobertura?,Agricultura regenerativa,Agricultura convencional,Agricultura industrial,1
¿Qué representa el ciclo productivo en la agricultura?,El tiempo que tarda en venderse un producto agrícola.,El tiempo que tarda un cultivo en crecer,El tiempo que tarda un cultivo desde la preparación de la tierra hasta la cosecha.,3
¿Qué aspecto fundamental aborda la trazabilidad de la cadena de suministro?,La capacidad de mantener la confidencialidad de los datos de la cadena de suministro.,"La capacidad de producir bienes de manera rápida y eficiente, de manera ordenada y planeada.","La capacidad de rastrear el origen y el recorrido de los materiales utilizados en un producto o servicio, desde su extracción hasta su destino final.",3
¿Qué tipo de productos se consideran agroinsumos?,Productos electrónicos utilizados en la agricultura para la mejora de productividad.,"Todos los consumibles utilizados en el proceso productivo agrícola, como fertilizantes, agroquímicos y equipos.",Suministros médicos utilizados en la agricultura.,2
¿Qué tipo de financiamiento respaldado por instituciones formales ofrece opciones estructuradas pero es difícil de acceder y renovar?,Financiamiento con Verqor,Financiamiento con el banco,Financiamiento con Coyote ,2
¿Qué opción de financiamiento ofrece un proceso más ágil y menos burocrático con menos garantías requeridas?,Financiamiento con Verqor,Financiamiento con el banco,Financiamiento con Coyote ,1
¿Qué opción de financiamiento implica mayor riesgo para los agricultores por su falta de regulación y transparencia?,Financiamiento con Verqor,Financiamiento con el banco,Financiamiento con Coyote ,3
¿Qué tipo de financiamiento tiende a tener tasas de interés más bajas y procesos de solicitud más accesibles para los agricultores?,Financiamiento con Verqor,Financiamiento con el banco,Financiamiento con Coyote ,1
¿Por qué es fundamental para un agricultor contar con un seguro agrícola?,Para obtener descuentos en la compra de insumos agrícolas.,"Para protegerse contra posibles pérdidas financieras ocasionadas por eventos climáticos adversos, enfermedades de los cultivos o desastres naturales.",Para obtener un acceso más fácil al mercado y poder tener mayor productividad en las ventas.,2
¿Qué práctica es común en la agricultura regenerativa para mejorar la salud del suelo?,Uso intensivo de pesticidas,Monocultivo,Rotación de cultivos,3
¿Qué objetivo tiene la agricultura regenerativa respecto al medio ambiente?,Maximizar el uso de agroquímicos,Secuestrar carbono y restaurar ecosistemas,Aumentar la producción a corto plazo,2
¿Cuál es una característica distintiva de la agricultura tradicional?,Promueve la biodiversidad,Se enfoca en la producción a corto plazo,Reduce el uso de fertilizantes sintéticos,2
Técnica de agricultura regenerativa para incrementar materia orgánica,Labranza mínima,Fertilizantes químicos,Pesticidas intensivos,1
¿Qué técnica se utiliza en la agricultura regenerativa para integrar árboles en los sistemas agrícolas?,,Monocultivo,Agroforestería,3
¿Qué caracteriza principalmente a la agricultura tradicional?,Uso de recursos locales,Alta tecnología,Uso intensivo de agroquímicos,1
¿Cómo beneficia la cobertura vegetal en la agricultura regenerativa?,Aumenta erosión del suelo,Mejora retención de agua,Incrementa uso de pesticidas,2
¿Cómo afecta la agricultura tradicional al medio ambiente?,Mejora la calidad del suelo a largo plazo,Contribuye a la deforestación y la pérdida de biodiversidad,Disminuye la dependencia de fertilizantes,2
"En términos de impacto económico, ¿qué busca promover la agricultura regenerativa?",Rápido retorno económico,Economías rurales prósperas globalmente,Beneficios a corto plazo para los agricultores,2
Vacio,Pastoreo intensivo,Pastoreo planificado,Uso libre sin restricciones,2
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
